Wed Jun  3 11:33:39 2020 , 40.2 , 28.2 , 3592 , 531
Wed Jun  3 11:45:02 2020 , 37.5 , 26.9 , 2894 , 531
Wed Jun  3 12:00:02 2020 , 40.2 , 24.2 , 2511 , 532
Wed Jun  3 12:15:02 2020 , 45.2 , 23.9 , 3128 , 534
Wed Jun  3 12:30:02 2020 , 46.0 , 23.2 , 3413 , 533
Wed Jun  3 12:45:02 2020 , 44.8 , 22.2 , 4171 , 537
Wed Jun  3 13:00:02 2020 , 46.6 , 17.7 , 7449 , 537
Wed Jun  3 13:15:02 2020 , 49.4 , 20.4 , 8752 , 537
Wed Jun  3 13:30:02 2020 , 51.2 , 20.0 , 7032 , 534
Wed Jun  3 13:45:02 2020 , 46.0 , 22.3 , 6582 , 532
Wed Jun  3 14:00:02 2020 , 43.0 , 25.1 , 6445 , 535
Wed Jun  3 14:15:02 2020 , 44.7 , 23.5 , 6612 , 535
Wed Jun  3 14:30:02 2020 , 47.5 , 21.8 , 5128 , 534
Wed Jun  3 14:45:02 2020 , 46.1 , 22.7 , 5722 , 536
Wed Jun  3 15:00:02 2020 , 50.1 , 21.6 , 9645 , 535
Wed Jun  3 15:15:02 2020 , 49.5 , 17.2 , 4622 , 526
Wed Jun  3 15:30:02 2020 , 39.4 , 26.4 , 4701 , 522
Wed Jun  3 15:45:02 2020 , 34.8 , 28.4 , 10955 , 528
Wed Jun  3 16:00:02 2020 , 39.5 , 27.2 , 1352 , 525
Wed Jun  3 16:15:02 2020 , 34.8 , 33.2 , 2511 , 522
Wed Jun  3 16:30:01 2020 , 30.3 , 38.6 , 1695 , 521
Wed Jun  3 16:45:01 2020 , 30.2 , 38.7 , 1167 , 519
Wed Jun  3 17:00:01 2020 , 26.1 , 45.3 , 4035 , 524
Wed Jun  3 17:15:02 2020 , 32.6 , 38.3 , 6508 , 524
Wed Jun  3 17:30:02 2020 , 34.1 , 38.1 , 3375 , 525
Wed Jun  3 17:45:01 2020 , 41.0 , 26.5 , 2267 , 521
Wed Jun  3 18:00:01 2020 , 32.0 , 39.2 , 2260 , 520
Wed Jun  3 18:15:01 2020 , 30.3 , 43.3 , 1974 , 517
Wed Jun  3 18:30:02 2020 , 29.4 , 45.9 , 2252 , 519
Wed Jun  3 18:45:02 2020 , 29.9 , 42.4 , 1904 , 519
Wed Jun  3 19:00:01 2020 , 30.2 , 43.1 , 1431 , 519
Wed Jun  3 19:15:01 2020 , 29.7 , 46.0 , 1116 , 519
Wed Jun  3 19:30:02 2020 , 29.4 , 46.1 , 1058 , 518
Wed Jun  3 19:45:02 2020 , 29.0 , 45.8 , 836 , 517
Wed Jun  3 20:00:01 2020 , 28.3 , 48.6 , 768 , 516
Wed Jun  3 20:15:01 2020 , 27.6 , 49.0 , 752 , 509
Wed Jun  3 20:30:02 2020 , 26.8 , 50.1 , 511 , 507
Wed Jun  3 20:45:02 2020 , 26.1 , 52.3 , 296 , 500
Wed Jun  3 21:00:04 2020 , 24.6 , 53.8 , 168 , 497
Wed Jun  3 21:15:02 2020 , 24.6 , 53.2 , 44 , 496
Wed Jun  3 21:30:02 2020 , 24.1 , 55.6 , 8 , 497
Wed Jun  3 21:45:02 2020 , 23.3 , 58.5 , 1 , 497
Wed Jun  3 22:00:02 2020 , 22.9 , 53.3 , 0 , 500
Wed Jun  3 22:15:02 2020 , 23.0 , 50.7 , 0 , 500
Wed Jun  3 22:30:02 2020 , 23.0 , 53.7 , 0 , 500
Wed Jun  3 22:45:02 2020 , 22.7 , 53.0 , 0 , 501
Wed Jun  3 23:00:02 2020 , 22.1 , 55.7 , 0 , 499
Wed Jun  3 23:15:02 2020 , 22.0 , 61.4 , 0 , 500
Wed Jun  3 23:30:02 2020 , 21.9 , 59.4 , 0 , 501
Wed Jun  3 23:45:05 2020 , 21.6 , 65.1 , 0 , 502
Thu Jun  4 00:00:02 2020 , 21.5 , 65.0 , 0 , 501
Thu Jun  4 00:15:02 2020 , 21.6 , 68.3 , 0 , 502
Thu Jun  4 00:30:02 2020 , 21.6 , 67.4 , 0 , 502
Thu Jun  4 00:45:02 2020 , 21.2 , 70.3 , 0 , 501
Thu Jun  4 01:00:02 2020 , 20.7 , 65.6 , 0 , 500
Thu Jun  4 01:15:02 2020 , 20.7 , 71.1 , 0 , 500
Thu Jun  4 01:30:02 2020 , 21.0 , 72.3 , 0 , 499
Thu Jun  4 01:45:02 2020 , 21.1 , 73.2 , 0 , 498
Thu Jun  4 02:00:02 2020 , 21.0 , 70.4 , 0 , 498
Thu Jun  4 02:15:02 2020 , 20.7 , 73.0 , 0 , 497
Thu Jun  4 02:30:02 2020 , 20.4 , 72.6 , 0 , 497
Thu Jun  4 02:45:02 2020 , 19.9 , 74.1 , 0 , 496
Thu Jun  4 03:00:02 2020 , 19.9 , 73.8 , 0 , 496
Thu Jun  4 03:15:02 2020 , 19.9 , 75.0 , 0 , 496
Thu Jun  4 03:30:02 2020 , 20.0 , 73.6 , 0 , 496
Thu Jun  4 03:45:02 2020 , 20.1 , 71.9 , 0 , 496
Thu Jun  4 04:00:02 2020 , 20.1 , 73.0 , 0 , 496
Thu Jun  4 04:15:02 2020 , 20.1 , 73.8 , 0 , 496
Thu Jun  4 04:30:02 2020 , 20.2 , 71.6 , 0 , 495
Thu Jun  4 04:45:02 2020 , 19.9 , 66.6 , 0 , 496
Thu Jun  4 05:00:02 2020 , 20.1 , 72.3 , 1 , 496
Thu Jun  4 05:15:02 2020 , 20.1 , 69.8 , 3 , 496
Thu Jun  4 05:30:02 2020 , 19.8 , 71.4 , 10 , 496
Thu Jun  4 05:45:02 2020 , 19.1 , 75.0 , 30 , 495
Thu Jun  4 06:01:55 2020 , 18.6 , 86.7 , 0 , 495
Thu Jun  4 06:15:02 2020 , 18.6 , 86.7 , 178 , 494
