Date,Temperature in degree celcius,Humidity in percent,Lux,Soil moisture
Thu May 28 09:30:02 2020 , 18.4 , 62.2 , 0 , 454
Thu May 28 10:00:02 2020 , 18.5 , 59.8 , 128 , 457
Thu May 28 10:05:04 2020 , 19.2 , 60.1 , 119 , 456
Thu May 28 10:29:03 2020 , 19.3 , 60.5 , 108 , 453
Thu May 28 10:30:02 2020 , 19.4 , 61.1 , 102 , 456
Thu May 28 11:00:02 2020 , 19.4 , 60.2 , 129 , 454
Thu May 28 11:30:02 2020 , 18.9 , 61.2 , 155 , 456
Thu May 28 12:00:02 2020 , 19.8 , 58.2 , 160 , 456
Thu May 28 12:30:02 2020 , 20.4 , 54.1 , 72 , 455
Thu May 28 13:00:02 2020 , 20.2 , 53.2 , 59 , 456
Thu May 28 13:30:02 2020 , 20.9 , 49.8 , 52 , 459
Thu May 28 14:00:02 2020 , 20.9 , 44.0 , 57 , 461
Thu May 28 14:25:07 2020 , 22.0 , 39.2 , 62 , 463
Thu May 28 14:26:09 2020 , 22.1 , 38.5 , 61 , 463
Thu May 28 14:30:02 2020 , 22.2 , 38.1 , 65 , 462
Thu May 28 15:00:02 2020 , 22.2 , 36.9 , 58 , 462
Thu May 28 15:30:02 2020 , 22.2 , 36.3 , 1549 , 469
Thu May 28 16:00:02 2020 , 26.0 , 30.5 , 190 , 468
Thu May 28 19:00:02 2020 , 20.5 , 37.0 , 0 , 463
Thu May 28 19:12:46 2020 , 20.4 , 37.2 , 17 , 283
Thu May 28 19:14:40 2020 , 19.7 , 38.5 , 16 , 284
Thu May 28 19:30:02 2020 , 19.6 , 36.8 , 12 , 292
Thu May 28 19:40:59 2020 , 19.1 , 38.5 , 9 , 293
Thu May 28 20:00:02 2020 , 18.8 , 41.5 , 4 , 300
Thu May 28 20:06:39 2020 , 18.3 , 44.0 , 2 , 299
Thu May 28 20:30:01 2020 , 18.1 , 49.8 , 0 , 301
Thu May 28 21:00:02 2020 , 17.5 , 41.7 , 0 , 301
Thu May 28 21:30:02 2020 , 16.8 , 43.7 , 0 , 301
Thu May 28 22:00:01 2020 , 16.4 , 46.6 , 0 , 303
Thu May 28 22:30:02 2020 , 15.9 , 45.8 , 0 , 306
Thu May 28 23:00:02 2020 , 15.4 , 47.1 , 0 , 303
Thu May 28 23:30:02 2020 , 14.9 , 46.2 , 0 , 303
Fri May 29 00:00:02 2020 , 14.7 , 46.7 , 0 , 307
Fri May 29 00:30:02 2020 , 14.3 , 48.6 , 0 , 305
Fri May 29 01:00:02 2020 , 14.1 , 49.7 , 0 , 304
Fri May 29 01:30:02 2020 , 13.7 , 52.2 , 0 , 304
Fri May 29 02:00:02 2020 , 13.3 , 53.2 , 0 , 302
Fri May 29 02:30:02 2020 , 12.9 , 54.5 , 0 , 300
Fri May 29 03:00:02 2020 , 12.3 , 57.1 , 0 , 300
Fri May 29 03:30:02 2020 , 12.2 , 57.0 , 0 , 301
Fri May 29 04:00:02 2020 , 11.7 , 59.2 , 0 , 302
Fri May 29 04:30:02 2020 , 11.2 , 60.8 , 2 , 302
Fri May 29 05:00:02 2020 , 11.2 , 61.9 , 9 , 296
Fri May 29 05:30:02 2020 , 10.4 , 67.6 , 16 , 297
Fri May 29 06:00:02 2020 , 10.8 , 65.9 , 19 , 300
Fri May 29 06:30:02 2020 , 11.2 , 66.1 , 22 , 301
Fri May 29 07:00:02 2020 , 11.7 , 68.6 , 22 , 304
Fri May 29 08:00:02 2020 , 13.0 , 66.9 , 0 , 353
Fri May 29 08:30:40 2020 ,
Fri May 29 09:00:39 2020 ,
Fri May 29 09:30:40 2020 ,
Fri May 29 10:00:39 2020 ,
Fri May 29 10:30:40 2020 ,
Fri May 29 11:00:39 2020 ,
Fri May 29 11:30:39 2020 ,
